NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
FontPrint,FUNC,,,,,,001fb078,0021cbf8,0020c030,001f4960,001eda60,00229d30,00212ce0,00222e3,0020db08,0021a3b0,001ee660,0022c960,0021dbb8,00206ae0,0020e308,001f4730,001f9860,001f8060,00203de0
FontPrintNormal,FUNC,,,,,,001fb2f8,0021ce78,0020c2b0,001f4be0,001edce0,00229fb0,00212f60,002230b0,0020dd88,0021a630,001ee8e0,0022cbe0,0021de38,00206d60,0020e588,001f49b0,001f9ae0,001f82e0,00204060
FontPrintSmall,FUNC,,,,,,001fb378,0021cef8,0020c330,001f4c60,001edd60,0022a030,00212fe0,00223130,0020de08,0021a6b0,001ee960,0022cc60,0021deb8,00206de0,0020e608,001f4a30,001f9b60,001f8360,002040e0
FontPrintLarge,FUNC,,,,,,001fb3f8,0021cf78,0020c3b0,001f4ce0,001edde0,0022a0b0,00213060,002231b0,0020de88,0021a730,001ee9e0,0022cce0,0021df38,00206e60,0020e688,001f4ab0,001f9be0,001f83e0,00204160
FontPrintCenter,FUNC,,,,,,001fb930,0021d4b0,0020c8e8,001f5218,001ee318,0022a5e8,00213598,002236e8,0020e3c0,0021ac68,001eef18,0022d218,0021e470,00207398,0020ebc0,001f4fe8,001fa118,001f8918,00204698
FontPrintCenterSmall,FUNC,,,,,,001fb9c8,0021d548,0020c980,001f52b0,001ee3b0,0022a680,00213630,00223780,0020e458,0021ad00,001eefb0,0022d2b0,0021e508,00207430,0020ec58,001f5080,001fa1b0,001f89b0,00204730
FontPrintCenterLarge,FUNC,,,,,,001fba60,0021d5e0,0020ca18,001f5348,001ee448,0022a718,002136c8,00223818,0020e4f0,0021ad98,001ef048,0022d348,0021e5a0,002074c8,0020ecf0,001f5118,001fa248,001f8a48,002047c8
FontPrintRight,FUNC,,,,,,001fb780,0021d300,0020c738,001f5068,001ee168,0022a438,002133e8,00223538,0020e210,0021aab8,001eed68,0022d068,0021e2c0,002071e8,0020ea10,001f4e38,001f9f68,001f8768,002044e8
FontPrintRightSmall,FUNC,,,,,,001fb810,0021d390,0020c7c8,001f50f8,001ee1f8,0022a4c8,00213478,002235c8,0020e2a0,0021ab48,001eedf8,0022d0f8,0021e350,00207278,0020eaa0,001f4ec8,001f9ff8,001f87f8,00204578
FontPrintRightLarge,FUNC,,,,,,001fb8a0,0021d420,0020c858,001f5188,001ee288,0022a558,00213508,00223658,0020e330,0021abd8,001eee88,0022d188,0021e3e0,00207308,0020eb30,001f4f58,001fa088,001f8888,00204608
FontPrintWindow,FUNC,,,,,,001fbaf8,0021d678,0020cab0,001f53e0,001ee4e0,0022a7b0,00213760,002238b0,0020e588,0021ae30,001ef0e0,0022d3e0,0021e638,00207560,0020ed88,001f51b0,001fa2e0,001f8ae0,00204860
