NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
RFU000_FullReset,FUNC,0x0,10,,,,,,,,,,,,,,,,,,,,,,
ResetEE,FUNC,0x1,10,,,,,,,,,,,,,,,,,,,,,,
SetGsCrt,FUNC,0x2,10,,,,,,,,,,,,,,,,,,,,,,
RFU003,FUNC,0x3,10,,,,,,,,,,,,,,,,,,,,,,
_Exit,FUNC,0x4,10,,,,,,,,,,,,,,,,,,,,,,
RFU005,FUNC,0x5,10,,,,,,,,,,,,,,,,,,,,,,
_LoadExecPS2,FUNC,0x6,10,,,,,,,,,,,,,,,,,,,,,,
_ExecPS2,FUNC,0x7,10,,,,,,,,,,,,,,,,,,,,,,
RFU008,FUNC,0x8,10,,,,,,,,,,,,,,,,,,,,,,
RFU009,FUNC,0x9,10,,,,,,,,,,,,,,,,,,,,,,
AddSbusIntcHandler,FUNC,0xa,10,,,,,,,,,,,,,,,,,,,,,,
RemoveSbusIntcHandler,FUNC,0xb,10,,,,,,,,,,,,,,,,,,,,,,
Interrupt2Iop,FUNC,0xc,10,,,,,,,,,,,,,,,,,,,,,,
SetVTLBRefillHandler,FUNC,0xd,10,,,,,,,,,,,,,,,,,,,,,,
SetVCommonHandler,FUNC,0xe,10,,,,,,,,,,,,,,,,,,,,,,
SetVInterruptHandler,FUNC,0xf,10,,,,,,,,,,,,,,,,,,,,,,
AddIntcHandler,FUNC,0x10,10,,,,,,,,,,,,,,,,,,,,,,
AddIntcHandler2,FUNC,0x10,10,,,,,,,,,,,,,,,,,,,,,,
RemoveIntcHandler,FUNC,0x11,10,,,,,,,,,,,,,,,,,,,,,,
AddDmacHandler,FUNC,0x12,10,,,,,,,,,,,,,,,,,,,,,,
AddDmacHandler2,FUNC,0x12,10,,,,,,,,,,,,,,,,,,,,,,
RemoveDmacHandler,FUNC,0x13,10,,,,,,,,,,,,,,,,,,,,,,
_EnableIntc,FUNC,0x14,10,,,,,,,,,,,,,,,,,,,,,,
_DisableIntc,FUNC,0x15,10,,,,,,,,,,,,,,,,,,,,,,
_EnableDmac,FUNC,0x16 ,10,,,,,,,,,,,,,,,,,,,,,,
