NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,"{1,21}","{2,22}","{4,24}","{5,25}","{6,26}","{7,27}","{8,28}","{10,30}","{11,31}","{13,33}","{14,34}","{15,35}","[41,74]"
RFU000_FullReset,FUNC,0x0,10,126780,,,,,,,,,,,,,,,,
ResetEE,FUNC,0x1,10,126790,,,,,,,,,,,,,,,,
SetGsCrt,FUNC,0x2,10,1267a0,,,,,,,,,,,,,,,,
RFU003,FUNC,0x3,10,1267b0,,,,,,,,,,,,,,,,
_Exit,FUNC,0x4,10,1267c0,,,,,,,,,,,,,,,,
RFU005,FUNC,0x5,10,1267d0,,,,,,,,,,,,,,,,
_LoadExecPS2,FUNC,0x6,10,1267e0,,,,,,,,,,,,,,,,
_ExecPS2,FUNC,0x7,10,1267f0,,,,,,,,,,,,,,,,
RFU008,FUNC,0x8,10,126800,,,,,,,,,,,,,,,,
RFU009,FUNC,0x9,10,126810,,,,,,,,,,,,,,,,
AddSbusIntcHandler,FUNC,0xa,10,126820,,,,,,,,,,,,,,,,
RemoveSbusIntcHandler,FUNC,0xb,10,126830,,,,,,,,,,,,,,,,
Interrupt2Iop,FUNC,0xc,10,126840,,,,,,,,,,,,,,,,
SetVTLBRefillHandler,FUNC,0xd,10,126850,,,,,,,,,,,,,,,,
SetVCommonHandler,FUNC,0xe,10,126860,,,,,,,,,,,,,,,,
SetVInterruptHandler,FUNC,0xf,10,126870,,,,,,,,,,,,,,,,
AddIntcHandler,FUNC,0x10,10,126880,,,,,,,,,,,,,,,,
AddIntcHandler2,FUNC,0x10,10,126890,,,,,,,,,,,,,,,,
RemoveIntcHandler,FUNC,0x11,10,1268a0,,,,,,,,,,,,,,,,
AddDmacHandler,FUNC,0x12,10,1268b0,,,,,,,,,,,,,,,,
AddDmacHandler2,FUNC,0x12,10,1268c0,,,,,,,,,,,,,,,,
RemoveDmacHandler,FUNC,0x13,10,1268d0,,,,,,,,,,,,,,,,
_EnableIntc,FUNC,0x14,10,1268e0,,,,,,,,,,,,,,,,
_DisableIntc,FUNC,0x15,10,1268f0,,,,,,,,,,,,,,,,
_EnableDmac,FUNC,0x16 ,10,126900,,,,,,,,,,,,,,,,
_DisableDmac,FUNC,0x17,10,126910,,,,,,,,,,,,,,,,
SetAlarm,FUNC,0xfc,10,126920,,,,,,,,,,,,,,,,
ReleaseAlarm,FUNC,0xfd,10,126930,,,,,,,,,,,,,,,,
_iEnableIntc,FUNC,0x1a,10,126940,,,,,,,,,,,,,,,,
_iDisableIntc,FUNC,0x1b,10,126950,,,,,,,,,,,,,,,,
_iEnableDmac,FUNC,0x1c,10,126960,,,,,,,,,,,,,,,,
_iDisableDmac,FUNC,0x1d,10,126970,,,,,,,,,,,,,,,,
iSetAlarm,FUNC,0xfe,10,126980,,,,,,,,,,,,,,,,
iReleaseAlarm,FUNC,0xff,10,126990,,,,,,,,,,,,,,,,
CreateThread,FUNC,0x20,10,1269a0,,,,,,,,,,,,,,,,
DeleteThread,FUNC,0x21,10,1269b0,,,,,,,,,,,,,,,,
_StartThread,FUNC,0x22,10,1269c0,,,,,,,,,,,,,,,,
ExitThread,FUNC,0x23,10,1269d0,,,,,,,,,,,,,,,,
ExitDeleteThread,FUNC,0x24,10,1269e0,,,,,,,,,,,,,,,,
TerminateThread,FUNC,0x25,10,1269f0,,,,,,,,,,,,,,,,
iTerminateThread,FUNC,0x26,10,126a00,,,,,,,,,,,,,,,,
DisableDispatchThread,FUNC,0x27,10,126a10,,,,,,,,,,,,,,,,
EnableDispatchThread,FUNC,0x28,10,126a20,,,,,,,,,,,,,,,,
ChangeThreadPriority,FUNC,0x29,10,126a30,,,,,,,,,,,,,,,,
