NAME,TYPE,COMMENT,SIZE,CORE,FRONTEND,FRONTBIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
_section_reginfo,NOTYPE,,,100000,,,,,,,,,,,,,,,,,,,,,
_section_reginfo_end,NOTYPE,,,100018,,,,,,,,,,,,,,,,,,,,,
_section_vutext,NOTYPE,,,100080,,,,,,,,,,,,,,,,,,,,,
_section_vutext_end,NOTYPE,,,112310,,,,,,,,,,,,,,,,,,,,,
_section_coretext,NOTYPE,,,112380,,,,,,,,,,,,,,,,,,,,,
_section_coretext_end,NOTYPE,,,12f438,,,,,,,,,,,,,,,,,,,,,
_section_coredata,NOTYPE,,,12f480,,,,,,,,,,,,,,,,,,,,,
_section_coredata_end,NOTYPE,,,1521c0,,,,,,,,,,,,,,,,,,,,,
_section_corerdata,NOTYPE,,,152200,,,,,,,,,,,,,,,,,,,,,
_section_corerdata_end,NOTYPE,,,1540a0,,,,,,,,,,,,,,,,,,,,,
_section_corebss,NOTYPE,,,154100,,,,,,,,,,,,,,,,,,,,,
_section_corebss_end,NOTYPE,,,15ec28,,,,,,,,,,,,,,,,,,,,,
_section_corelit,NOTYPE,,,15ec80,,,,,,,,,,,,,,,,,,,,,
_section_corelit_end,NOTYPE,,,15eee0,,,,,,,,,,,,,,,,,,,,,
_section_lit,NOTYPE,,,,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00,15ef00
_section_lit_end,NOTYPE,,,,1611e8,1611e8,161db0,1621e8,162320,161e08,161ee0,162184,162500,161da8,16256c,161ed0,1621a0,162708,1621e0,162048,162494,162360,162164,162610,162718
_section_bss,NOTYPE,,,,161200,161200,161e00,162200,162380,161e80,161f00,162200,162500,161e00,162580,161f00,162200,162780,162200,162080,162500,162380,162180,162680,162780
_section_bss_end,NOTYPE,,,,1653b0,1653b0,165fb0,1663b0,166530,166030,1660d0,1663b0,1666b0,165fb0,166730,1660b0,1663b0,166970,1663b0,166230,1666b0,166530,166370,166830,166930
_section_data,NOTYPE,,,,165400,165400,166000,166400,166580,166080,166100,166400,166700,166000,166780,166100,166400,166980,166400,166280,166700,166580,166380,166880,166980
_section_data_end,NOTYPE,,,,1e8a78,1e8a78,1ea230,20b9d0,1fae60,1e3720,1dc7f0,218be0,201a30,211bc0,1fc7a0,209210,1dd490,21b7e0,20ca80,1f5720,1fd1e0,1e3540,1e87e0,1e6f30,1f2bb0
_section_lvlvtbl,NOTYPE,,,,1e8a80,1e8a80,1ea280,20ba00,1fae80,1e3780,1dc800,218c00,201a80,211c00,1fc800,209280,1dd500,21b800,20ca80,1f5780,1fd200,1e3580,1e8800,1e6f80,1f2c00
_section_lvlvtbl_end,NOTYPE,,,,1e8a8c,1e8a8c,1ea784,20c324,1fb5f4,1e402c,1dd034,219398,2022cc,2124f4,1fd130,209a30,1ddd70,21bf50,20d158,1f60a4,1fd980,1e3dcc,1e8f68,1e776c,1f33e0
_section_lvlcamvtbl,NOTYPE,,,,1e8b00,1e8b00,1ea800,20c380,1fb600,1e4080,1dd080,219400,202300,212500,1fd180,209a80,1ddd80,21bf80,20d180,1f6100,1fd980,1e3e00,1e8f80,1e7780,1f3400
_section_lvlcamvtbl_end,NOTYPE,,,,1e8b14,1e8b14,1ea8a0,20c420,1fb6a0,1e4148,1dd134,2194b4,2023b4,2125a0,1fd234,209b20,1dde34,21c00c,20d220,1f61a0,1fda48,1e3ec8,1e9034,1e7820,1f34a0
_section_lvlsndvtbl,NOTYPE,,,,1e8b80,1e8b80,1ea900,20c480,1fb700,1e4180,1dd180,219500,202400,212600,1fd280,209b80,1dde80,21c080,20d280,1f6200,1fda80,1e3f00,1e9080,1e7880,1f3500
_section_lvlsndvtbl_end,NOTYPE,,,,1e8b88,1e8b88,1ea918,20c4b8,1fb728,1e41a0,1dd190,219538,202408,212618,1fd2b0,209ba0,1dde98,21c0a0,20d2b0,1f6218,1fdab0,1e3f18,1e90a0,1e7890,1f3530
_section_text,NOTYPE,,,,1e8c00,1e8c00,1ea980,20c500,1fb780,1e4200,1dd200,219580,202480,212680,1fd300,209c00,1ddf00,21c100,20d300,1f6280,1fdb00,1e3f80,1e9100,1e7900,1f3580
_section_text_end,NOTYPE,,,,23ce70,23c828,2f0678,31cb38,2ff260,2f0370,2f4390,32e718,3192c0,32c2a8,319c40,3186b8,2f9888,32b878,319640,31afd0,319ba8,2fbd18,2f8790,3037f0,3099f0
